model,region,code,family,genus,species,parameter,estimate,na_genus
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bbark2,1.9845,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bbranches1,0.0113,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bbranches2,2.6211,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bfoliage1,0.0188,FALSE
DBH,CA-ON,QUER.ALB,Fagaceae,Quercus,alba,bfoliage2,1.7881,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bwood1,0.0359,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bwood2,2.5775,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbark1,0.0116,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbark2,2.3022,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbranches1,0.0283,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bbranches2,2.0823,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bfoliage1,0.1601,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",PICE.GLA,Pinaceae,Picea,glauca,bfoliage2,1.467,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bwood1,0.1932,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bwood2,2.1569,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bbark1,0.0192,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bbark2,2.2475,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bbranches1,0.0305,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bbranches2,2.4044,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bfoliage1,0.1119,FALSE
DBH,"CA-NS, CA-ON, CA-QC",BETU.ALL,Betulaceae,Betula,alleghaniensis,bfoliage2,1.3973,FALSE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bwood1,0.0871,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bwood2,2.3702,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bbark1,0.0241,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bbark2,2.1969,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bbranches1,0.0167,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bbranches2,2.4807,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bfoliage1,0.039,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.HWD,NA,NA,NA,bfoliage2,1.6229,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bwood1,0.0648,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bwood2,2.3927,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bbark1,0.0162,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bbark2,2.1959,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bbranches1,0.0156,TRUE
DBH,"CA-AB, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT",UNKN.SWD,NA,NA,NA,bbranches2,2.2916,TRUE
