genus,species,allo_var,family,a,b,cf,name,region
Pinus,sylvestris,bs,Pinaceae,-3.80519,2.70808,1.043097387,Segovia,ES-SG
Pinus,sylvestris,bs,Pinaceae,-3.80519,2.70808,1.043097387,Madrid,ES-M
Pinus,uncinata,bs,Pinaceae,-3.44774,2.70666,1.035992786,Girona,ES-GI
Pinus,uncinata,bt,Pinaceae,-1.86138,2.31611,1.032170494,Girona,ES-GI
Pinus,uncinata,br,Pinaceae,-4.50582,2.7558,1.039253111,Girona,ES-GI
Populus,euramericana,bt,Salicaceae,-2.94077,2.56677,1.002924046,Salamanca,ES-SA
Populus,euramericana,bt,Salicaceae,-2.94077,2.56677,1.002924046,Segovia,ES-SG
Populus,euramericana,bt,Salicaceae,-2.94077,2.56677,1.002924046,Soria,ES-SO
Populus,euramericana,bs,Salicaceae,-3.15383,2.53766,1.009638246,Salamanca,ES-SA
Populus,euramericana,bs,Salicaceae,-3.15383,2.53766,1.009638246,Segovia,ES-SG
Populus,euramericana,bs,Salicaceae,-3.15383,2.53766,1.009638246,Soria,ES-SO
Populus,euramericana,bf,Salicaceae,-3.36508,2.5955,1.116033928,Salamanca,ES-SA
Populus,euramericana,bf,Salicaceae,-3.36508,2.5955,1.116033928,Segovia,ES-SG
Populus,euramericana,bf,Salicaceae,-3.36508,2.5955,1.116033928,Soria,ES-SO
Populus,euramericana,br,Salicaceae,-5.00204,2.82049,1.035386355,Salamanca,ES-SA
Populus,euramericana,br,Salicaceae,-5.00204,2.82049,1.035386355,Segovia,ES-SG
Populus,euramericana,br,Salicaceae,-5.00204,2.82049,1.035386355,Soria,ES-SO
Quercus,canariensis,bf,Fagaceae,-4.5692,2.66513,1.178640518,Cadiz,ES-CA
Quercus,canariensis,br,Fagaceae,-4.1867,2.58308,1.07318661,Cadiz,ES-CA
Quercus,canariensis,bt,Fagaceae,-1.40683,2.111,1.063804219,Cadiz,ES-CA
Quercus,canariensis,bs,Fagaceae,-0.820331,2.7342,1.0456918,Cadiz,ES-CA
Quercus,faginea,br,Fagaceae,-3.09335,2.34356,1.057619981,Guadalajara,ES-GU
Quercus,faginea,bs,Fagaceae,-2.88755,2.29324,1.017924881,Guadalajara,ES-GU
Quercus,faginea,bf,Fagaceae,-3.98028,2.96752,1.053886159,Guadalajara,ES-GU
Quercus,faginea,bt,Fagaceae,-2.89305,2.52426,1.014581997,Guadalajara,ES-GU
Quercus,ilex,bs,Fagaceae,-1.99607,2.01754,1.038099128,Caceres,ES-CC
