family,genus,species,taxa_id,equation,component,beta_0,beta_1,beta_2,beta_3,cf
Betulaceae,Betula,pubescens,7,6,total branch,0.103054222,2.339,-0.1927,,1.149068107
Betulaceae,Betula,pendula,7,12,total branch,0.090636344,2.556,-0.0297,-0.0251,1.047049789
Betulaceae,Betula,pubescens,7,12,total branch,0.090636344,2.556,-0.0297,-0.0251,1.047049789
Betulaceae,Betula,pendula,7,20,total branch,0.002899839,2.3328,0.4448,0.1333,1.154917423
Betulaceae,Betula,pubescens,7,20,total branch,0.002899839,2.3328,0.4448,0.1333,1.154917423
Betulaceae,Betula,pubescens,8,3,aboveground,0.147386042,2.2081,,,1.026413409
Betulaceae,Betula,pubescens,8,3,foliage mass,0.018370668,1.7881,,,0.980172675
Betulaceae,Betula,pubescens,8,3,leaf area,0.249623874,1.7797,,,0.986989905
Betulaceae,Betula,pubescens,8,3,stem + branch mass,0.102735249,2.3803,,,0.979049643
Betulaceae,Betula,pubescens,8,4,stem + branch mass,0.064725502,2.4551,0.019,,0.96015999
Betulaceae,Betula,pubescens,8,6,stem + branch mass,0.45036361,2.407,-0.1497,,0.977089083
Betulaceae,Betula,pubescens,8,3,stem mass,0.08650094,2.3749,,,0.973420627
Betulaceae,Betula,pubescens,8,6,stem mass,0.177373074,2.3849,-0.0642,,0.966900742
Betulaceae,Betula,pubescens,8,3,total branch,0.016015472,2.5007,,,1.006582703
Betulaceae,Betula,pubescens,8,4,total branch,0.014032208,2.5577,-0.0069,,1.017878779
Betulaceae,Betula,pubescens,8,6,total branch,0.008225633,2.5378,0.0439,,1.024067643
Betulaceae,Carpinus,betulus,9,3,stem + branch mass,0.331277131,2.1407,,,0.934572771
Betulaceae,Carpinus,betulus,9,7,stem + branch mass,6.783546176,2.1396,-0.0634,,0.934395706
Betulaceae,Carpinus,betulus,9,9,stem + branch mass,0.074937563,2.1412,0.1584,,0.934224502
Betulaceae,Carpinus,betulus,9,3,stem mass,0.091794766,2.5301,,,0.877045417
Betulaceae,Carpinus,betulus,9,6,stem mass,0.211887459,2.5249,-0.1014,,0.874621141
Betulaceae,Carpinus,betulus,9,3,total branch,0.29022465,1.6859,,,1.015811339
Betulaceae,Carpinus,betulus,9,6,total branch,8.056667424,1.5155,-0.3574,,0.990228849
Betulaceae,Carpinus,betulus,9,7,total branch,12.92805815,1.6666,-0.0798,,1.015097113
Fagaceae,Castania,sativa,10,3,aboveground,0.159597541,2.2916,,,0.978402101
Fagaceae,Castania,sativa,10,5,aboveground,0.071920064,2.3224,0.1734,,1.008144665
Fagaceae,Castania,sativa,10,3,foliage mass,0.001845509,2.3956,,,0.879020421
Fagaceae,Castania,sativa,10,4,foliage mass,1.57E-52,3.1256,3.8925,,1.114477471
Fagaceae,Castania,sativa,10,3,leaf area,0.026465851,2.3956,,,0.879020421
Fagaceae,Castania,sativa,10,4,leaf area,2.26E-51,3.1256,3.8925,,1.114477472
Fagaceae,Castania,sativa,10,3,stem + branch mass,0.157772683,2.2903,,,0.962193688
Fagaceae,Castania,sativa,10,5,stem + branch mass,0.037907739,2.2923,0.3724,,0.949885074
Fagaceae,Castania,sativa,10,3,stem mass,0.10752843,2.3129,,,0.962206105
Fagaceae,Castania,sativa,10,5,stem mass,0.03941929,2.2776,0.3112,,0.958344516
Fagaceae,Castania,sativa,10,3,total branch,0.025137362,2.3812,,,0.936672748
Fagaceae,Castania,sativa,10,4,total branch,3.31E+62,2.7938,-5.2314,,0.897450728
Fagaceae,Fagus,sylvatica,11,3,aboveground,0.190253098,2.3589,,,0.996923865
Fagaceae,Fagus,sylvatica,11,6,aboveground,0.292672805,2.3623,-0.0734,,0.985421316
Fagaceae,Fagus,sylvatica,11,3,foliage mass,0.011318689,1.9073,,,1.087517555
Fagaceae,Fagus,sylvatica,11,4,foliage mass,0.047925862,1.9131,-0.0474,,1.156113761
Fagaceae,Fagus,sylvatica,11,5,foliage mass,0.103788511,1.9809,-0.6139,,1.072615046
Fagaceae,Fagus,sylvatica,11,3,leaf area,0.241955852,1.8909,,,1.09759381
Fagaceae,Fagus,sylvatica,11,3,live branch,0.005151332,3.0439,,,0.860660084
Fagaceae,Fagus,sylvatica,11,4,live branch,0.000153333,3.0424,0.1637,,0.859977271
Fagaceae,Fagus,sylvatica,11,5,live branch,0.000207516,3.0424,0.8588,,0.859977271
Fagaceae,Fagus,sylvatica,11,6,live branch,0.000207516,3.0424,0.8588,,0.236582447
Fagaceae,Fagus,sylvatica,11,3,root mass,0.03434496,2.3424,,,0.997693174
Fagaceae,Fagus,sylvatica,11,4,root mass,0.043144514,2.3794,-0.0125,,1.016773849
Fagaceae,Fagus,sylvatica,11,5,root mass,0.072934026,2.3752,-0.2142,,1.017010027
Fagaceae,Fagus,sylvatica,11,8,root mass,0.239572307,2.3406,-0.0028,,0.997629809
Fagaceae,Fagus,sylvatica,11,19,root mass,0.366447505,2.3745,-0.1598,-0.0026,1.016649979
Fagaceae,Fagus,sylvatica,11,3,stem + branch mass,0.16791456,2.3895,,,1.09215354
Fagaceae,Fagus,sylvatica,11,4,stem + branch mass,0.149150413,2.3234,0.0165,,1.086497247
Fagaceae,Fagus,sylvatica,11,5,stem + branch mass,0.108522256,2.3244,0.1749,,1.091889992
Fagaceae,Fagus,sylvatica,11,6,stem + branch mass,0.496734302,2.3119,-0.11,,1.085861292
Fagaceae,Fagus,sylvatica,11,3,stem mass,0.234875428,2.1661,,,0.997918894
Fagaceae,Fagus,sylvatica,11,5,stem mass,0.082241108,2.1439,0.2827,,1.00474917
Fagaceae,Fagus,sylvatica,11,6,stem mass,0.543405207,2.1583,-0.1121,,0.998100875
Fagaceae,Fagus,sylvatica,11,3,total branch,0.01327331,2.7599,,,1.416601135
Fagaceae,Fagus,sylvatica,11,4,total branch,0.023065899,2.8003,-0.0247,,1.46653457
Oleaceae,Fraxinus,excelsior,12,3,aboveground,0.05927901,2.8048,,,0.862783549
Oleaceae,Fraxinus,excelsior,12,3,foliage mass,0.007826812,2.4064,,,0.80923109
Oleaceae,Fraxinus,excelsior,12,5,foliage mass,0.044726013,2.4999,-0.6679,,0.97593898
Oleaceae,Fraxinus,excelsior,12,6,foliage mass,4.77E-05,2.3517,0.5816,,0.984344963
Oleaceae,Fraxinus,excelsior,12,8,foliage mass,0.093377954,2.4061,-0.0029,,0.799676945
Oleaceae,Fraxinus,excelsior,12,3,leaf area,0.148480744,2.3915,,,0.792653746
Oleaceae,Fraxinus,excelsior,12,6,leaf area,0.000157136,2.3517,0.7889,,0.986325239
Oleaceae,Fraxinus,excelsior,12,3,root mass,0.043295785,2.2156,,,0.99846739
Oleaceae,Fraxinus,excelsior,12,5,root mass,0.0970237,2.2159,-0.4478,,0.9988867
Oleaceae,Fraxinus,excelsior,12,6,root mass,0.0970237,2.2159,-0.4478,,0.754189089
Oleaceae,Fraxinus,excelsior,12,3,stem + branch mass,0.078582991,2.6184,,,0.946312339
Oleaceae,Fraxinus,excelsior,12,5,stem + branch mass,0.007238075,2.6341,0.9922,,0.917047654
Oleaceae,Fraxinus,excelsior,12,16,stem + branch mass,518295.074,2.4392,-1.2315,-0.0048,1.006438777
Oleaceae,Fraxinus,excelsior,12,18,stem + branch mass,1.67E-05,2.4392,-0.7841,0.3176,1.0073106
Oleaceae,Fraxinus,excelsior,12,3,stem mass,0.05721152,2.6921,,,0.916918551
Oleaceae,Fraxinus,excelsior,12,5,stem mass,0.006632324,2.6915,0.9001,,0.917826895
Oleaceae,Fraxinus,excelsior,12,6,stem mass,3896.367547,2.4983,-1.1316,,0.994133149
Oleaceae,Fraxinus,excelsior,12,3,total branch,0.009977727,2.6843,,,0.937251613
Oleaceae,Fraxinus,excelsior,12,4,total branch,0.00137569,2.3669,0.1608,,1.071370571
Oleaceae,Fraxinus,excelsior,12,5,total branch,8.44E-05,2.683,1.9936,,0.937779131
Oleaceae,Fraxinus,excelsior,12,15,total branch,3.71E-12,2.5283,5.4243,0.9764,0.966140726
Oleaceae,Fraxinus,excelsior,12,16,total branch,1.76995E+17,2.5283,-1.2954,-0.0424,0.966140726
